threshold,max_assocs,n_assocs,n_assocs_pc,density,dataset
1.0,7.0,451.0,0.006836751709187927,0.0036606845723654853,ionosphere
1.0,2.0,373.0,0.005860264890257506,0.0030275728281426288,ionosphere
1.0,3.0,385.0,0.005551790272109824,0.003124974634946145,ionosphere
1.0,6.0,403.0,0.005897589744340214,0.0032710773451514194,ionosphere
1.0,4.0,389.0,0.005718317726784953,0.0031574419038806504,ionosphere
1.0,5.0,389.0,0.005723197339963807,0.0031574419038806504,ionosphere
1.0,4.0,387.0,0.005537827511698124,0.0031412082694133978,ionosphere
0.6000000000000001,100.0,22710.0,0.23296130647080546,0.06308333333333334,synthetic_control
0.6500000000000001,100.0,21882.0,0.17902022383663851,0.060783333333333335,synthetic_control
0.6000000000000001,100.0,22742.0,0.20819906254577414,0.06317222222222223,synthetic_control
